单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
a,art.,一(个)；每一(个)；(同类事物中)任一个,,,,,,,,,,,,,
abandon,vt.,离弃，丢弃；遗弃，抛弃；放弃,,,,,,,,,abandoning,abandoned,abandoned,,
abdomen,n.,腹，下腹(胸部到腿部的部分),,,,,,,,,,,,,
abide,vi.,(abode，abided)(by)遵守；坚持,,,,,,,,,abiding,abode/abided,abode/abided,,
ability,n.,能力；本领；才能，才干；专门技能，天资,,,,,,,,,,,,,
able,adj.,有(能力、时间、知识等)做某事，有本事的,,,,,,,,,,,,,
abnormal,adj.,反常的，不正常的，不规则的,,,,,,,,,,,,,
aboard,adv.&prep.,在船(飞机、车)上,adv.,上船(飞机),,,,,,,,,,,
abolish,vt.,废除(法律、习惯等)；取消,,,,,,,,,abolishing,abolished,abolished,,
abound,vi.,大量存在；(in，with)充满，富于,,,,,,,,,abounding,abounded,abounded,,
about,adv.,在周围；大约,prep.,关于；在周围,adj.,准备,,,,,,,,,
above,adj.,上述的,adv.,在上面,prep.,在…之上，高于,,,,,,,,,
abroad,adv.,到国外，在国外；在传播，在流传,,,,,,,,,,,,,
abrupt,adj.,突然的，出其不意的；(行为等)粗鲁无礼的,,,,,,,,,,,,,
absence,n.,缺乏，不存在；缺席，不在；缺席的时间,,,,,,,,,,,,,
absent,adj.,"缺席的；缺乏的,不存在的;心不在焉的",,,,,,,,,,,,,
absolute,adj.,绝对的，完全的；确实的，肯定的,,,,,,,,,,,,,
absorb,vt.,吸收(水、光、蒸汽等）；使全神贯注,,,,,,,,,absorbing,absorbed,absorbed,,
abstract,adj.,抽象的,n.,摘要，梗概,vt.,提取；摘录要点,,,,,abstracting,abstracted,abstracted,,
absurd,adj.,荒谬的，荒诞的，荒唐可笑的；不合理的,,,,,,,,,,,,,
abundance,n.,丰富，充裕，大量,,,,,,,,,,,,,
abundant,adj.,大量(充足)的；(in)丰富(富裕)的,,,,,,,,,,,,,
abuse,vt.,滥用；辱骂；诋毁,n.,滥用；恶习；弊端,,,,,,,abusing,abused,abused,,
academic,adj.,学院的，大学的；学术性的；理论的,,,,,,,,,,,,,
academy,n.,(高等)专科院校；学术社团，协会，研究院,,,,,,,,,,,,,
accelerate,v.,使加速，使增速，促进,vi.,加快，增加,,,,,,,accelerating,accelerated,accelerated,,
accent,n.,"口音,腔调；重音(符号)",vt.,重读,,,,,,,accenting,accented,accented,,
accept,vt.,接受，领受；认可，同意,vi.,同意，认可,,,,,,,accepting,accepted,accepted,,
acceptance,n.,接受，接收，验收，接纳；承认，认可,,,,,,,,,,,,,
access,n.,进入；接入；到达；享用权；入口,vi.,存取,,,,,,,accessing,accessed,accessed,,
accessible,adj.,可到达的；易接近的；可使用的,,,,,,,,,,,,,非大纲单词
accessory,n.,"附件,附属品;(为全套衣服增加美感的)服饰",,,,,,,,,,,,,
accident,n.,"意外遭遇,事故；意外(因素)",,,,,,,,,,,,,
accidental,adj.,偶然的；意外的；无意中的,,,,,,,,,,,,,
acclaim,v.,向…欢呼，公认,n.,欢呼，喝彩，称赞,,,,,,,acclaiming,acclaimed,acclaimed,,
accommodate,vt.,向…提供住处；对…予以照顾性考虑,,,,,,,,,accommodating,accommodated,accommodated,,
accommodation,n.,(accommodations)住宿，留宿；膳宿供应,,,,,,,,,,,,,
accompany,v.,陪伴，陪同；伴随，和…一起发生，伴奏,,,,,,,,,accompanying,accompanied,accompanied,,
accomplish,v.,实现(计划等)；达到(目的)；完成(任务),,,,,,,,,accomplishing,accomplished,accomplished,,
accord,vt.,给予(欢迎、称颂等),vi.&n.,符合，一致,,,,,,,according,accorded,accorded,,
accordance,n.,一致，和谐，符合,,,,,,,,,,,,,
according to,prep.,据/照…(所说、所写)；按…，视…,,,,,,,,,,,,,
accordingly,adv.,相应地，照着办，按照；于是，因此,,,,,,,,,,,,,
account,adj.,叙述，说明；账目，账户,vi.,说明，解释,,,,,,,accounting,accounted,accounted,,
accountant,n.,会计人员，会计师,,,,,,,,,,,,,
accumulate,vt.,堆积，积累，积聚,vi.,累积，聚积,,,,,,,accumulating,accumulated,accumulated,,
accuracy,n.,准确（性）；精确；准确度,,,,,,,,,,,,,
accurate,adj.,正确无误的；准确的，精确的,,,,,,,,,,,,,
